Channel,Throughput,Packet Delivery Ratio,Latency,Jitter
0,912.5351543726317,100.0,21.877385764011706,12.568961362775038
0,947.6427987098235,100.0,21.180117255980804,13.407728967590842
0,945.2389229761584,100.0,21.202870419980172,12.099904575797305
0,949.8652117159929,100.0,21.102964672016242,13.495283330885123
0,908.5266248671408,100.0,22.078060619978714,15.187052923405497
0,870.6333660615264,100.0,23.028490875996795,16.660084834311323
0,899.5666967421374,100.0,22.202431166011593,15.040190735756603
0,911.6053068903104,100.0,21.944164827984423,14.144281783295739
0,911.3468060989741,100.0,22.00292378199265,13.98910233792525
0,932.8708285605109,100.0,21.465095174011367,14.563629032676277
0,924.8479946372192,100.0,21.57298042201728,13.654236674525803
0,949.6029588339841,100.0,21.105051803990136,13.742345805909272
0,946.7047409328571,100.0,21.17170798398729,12.662655995120915
0,913.8264055542131,100.0,21.9167872480175,14.658395974865929
0,931.229440556594,100.0,21.415905498022767,13.226610918519395
0,929.9525049445508,100.0,21.51266360799309,13.52478198350825
0,933.5147764290193,100.0,21.375732823988074,14.031024346456192
0,907.117236096126,100.0,22.033250186013902,13.414492519707393
0,911.2119704784787,100.0,21.962565237998206,15.290228267426132
0,926.0036865964884,100.0,21.658199103980223,14.314489943068644
0,959.971514315124,100.0,20.868823754013647,13.460120015099662
0,947.321905799878,100.0,21.12117312197006,12.319742651535925
0,953.9470155110553,100.0,20.949537009992127,13.504054675693114
0,908.0112979985128,100.0,22.09904789000393,14.01041622004327
0,891.7004086804799,100.0,22.35723670200059,13.706732516127483
0,941.3928195575645,100.0,21.170469128021068,13.804808713448537
0,965.2872666933876,100.0,20.704425148001974,14.339370343859406
0,926.9040701985635,100.0,21.615205973997945,13.21013557818625
0,935.232277620719,100.0,21.495108896007878,13.032990213662032
0,943.1030649564957,100.0,21.177854945992294,14.142713317600743
0,917.0739974045092,100.0,21.861181177999242,13.333355620406927
0,916.2261881567426,100.0,21.824048882011994,13.412675323538577
0,951.0400940950121,100.0,21.07437520800704,13.077707745582613
0,937.0361909079121,100.0,21.430556450031872,13.315588735633686
0,941.2149905165197,100.0,21.253464081992206,14.510005977403768
0,920.3058692892979,100.0,21.758923732006224,12.818908409666353
0,950.9885391603468,100.0,21.096288707989515,14.35722783123453
0,956.924305221236,100.0,20.942786142035402,13.635499074708449
0,910.5036048519114,100.0,21.981036634015254,14.744452951086078
0,908.0250778386138,100.0,22.00548940995941,14.486982508099025
0,945.2184414523115,100.0,21.22607555799368,14.771644923623912
0,924.0175315577009,100.0,21.7747895340417,13.59838866736395
0,926.5785483459557,100.0,21.66878151202218,14.61485896578186
0,945.8933252740601,100.0,21.114805553988845,13.617983124921022
0,953.5476524378124,100.0,20.97677533794922,13.077967750111378
0,920.6294276832591,100.0,21.70592116001353,15.09139382002596
0,924.8739604018414,100.0,21.619271266019496,13.369063686761047
0,911.3648215919236,100.0,21.91227124602665,16.036216343435374
0,944.0104754110406,100.0,21.210248600011255,14.76811881556084
0,954.6249812461452,100.0,20.912609728067764,13.237657888370064
1,523.9896095193683,100.0,38.05206114000248,36.457096455355085
1,510.8134464393888,100.0,39.295256919991516,39.28774551331258
1,495.6631168887168,100.0,40.547876940017886,37.162124754074604
1,523.265234328338,100.0,38.477793171990925,34.45350469339218
1,513.6613264004667,100.0,39.03606330589173,38.0985980112879
1,536.6063368966445,100.0,37.424687923947204,36.481816148550124
1,520.6181450588693,100.0,38.632549956008006,37.983257858859965
1,494.3464369190031,100.0,40.7019168259867,39.0050505608541
1,472.1779348491277,100.0,42.60429258597287,41.42266991401809
1,494.2115254135405,100.0,40.50026787400566,37.480251543256486
1,484.03042552317123,100.0,41.4985493060085,38.27759627865309
1,490.38260974597387,100.0,40.70762343800379,41.36719948312955
1,487.6362218960496,100.0,41.011812527987786,39.08779378418336
1,497.03771353528526,100.0,40.35043693602711,41.60971320322735
1,497.1808867831313,100.0,40.67082665802809,39.85984037093473
1,500.26561343233186,100.0,40.28100031003851,39.59869411231947
1,487.7859758171733,100.0,41.20130422799775,40.14067369967667
1,526.6679283013087,100.0,38.29154952601675,34.9728539989568
1,493.851837711578,100.0,40.606515763964126,38.41810855550532
1,489.33491342068,100.0,41.02000266603136,40.01686908801415
1,479.11125274869954,100.0,41.94967532798546,40.97162557329336
1,508.675608678337,100.0,39.48230203597268,37.27388566006069
1,479.8687863688319,100.0,41.898451862012735,43.87314505660851
1,496.96233161429336,100.0,40.31846747995951,38.90831620815727
1,534.4154530842815,100.0,37.60028067600069,35.2199433211759
1,503.98002513531117,100.0,39.93036895392652,36.31682661868899
1,538.5982389526415,100.0,37.31302163801229,37.6655644220675
1,487.70758375626104,100.0,41.21805224199488,42.14274522026467
1,519.6678546767358,100.0,38.50731655995696,36.04976742819577
1,529.6119872928167,100.0,37.98363983793752,38.083914149817126
1,516.3628925240337,100.0,38.92056383207455,39.59926094871883
1,505.47587186585963,100.0,39.74445039204511,41.02394635324456
1,513.017251865529,100.0,39.060682545998134,39.26230084945922
1,498.1990236659551,100.0,40.35501335603476,38.72760487659138
1,507.1969326790649,100.0,39.469751730041025,38.13286006341073
1,490.7153889118243,100.0,40.91201289599849,38.42356548627247
1,498.4449795312248,100.0,40.24582993799049,40.22800401138337
1,557.1043857039184,100.0,35.92250102198159,36.525513436849415
1,478.4499641928581,100.0,41.99411027799215,39.69758410887648
1,478.43276524828303,100.0,41.896714935981436,38.660914885556515
1,477.4903322307934,100.0,42.11282550800388,41.40674639224339
1,489.1096039988487,100.0,41.17789436601015,38.19603953411205
1,536.3845452107039,100.0,37.29875482794523,36.86633685124349
1,484.52838462074897,100.0,41.41175004001343,40.04430301410582
1,527.1877926075986,100.0,38.06190319195957,35.74147772878498
1,512.6875207751043,100.0,39.11364830594175,38.18901307811766
1,516.8350945419414,100.0,39.00880832601979,37.34165613587842
1,488.73606619885214,100.0,41.215186745888786,38.388907444237844
1,479.3740905981946,100.0,42.00026482004614,44.09437730100649
1,496.1318749723559,100.0,40.59958599602032,38.43437463143717
